,Metric,Value,Method,Algorithm,mv,sigma,diff_mu_12_mu_11,diff_mu_13_mu_23,Neighbors,a_size,b_size,c_size,Repetition
0,F1 Macro,0.31794117647058817,Listwise Deletion,SVC,0.81,0.051520477382933624,0.027345134560400497,0.04825466571910263,,10.0,90.0,50.0,0.0
1,F1 Macro,0.24528987831740126,Listwise Deletion,RF,0.81,0.051520477382933624,0.027345134560400497,0.04825466571910263,,10.0,90.0,50.0,0.0
2,F1 Macro,0.35229806317334117,Listwise Deletion,Ridge,0.81,0.051520477382933624,0.027345134560400497,0.04825466571910263,,10.0,90.0,50.0,0.0
3,F1 Macro,0.9822647867340605,"ACF, correlation-only",ACF+SVC,0.81,0.051520477382933624,0.027345134560400497,0.04825466571910263,,10.0,90.0,50.0,0.0
4,F1 Macro,0.9629629629629629,"ACF, correlation-only",ACF+RF,0.81,0.051520477382933624,0.027345134560400497,0.04825466571910263,,10.0,90.0,50.0,0.0
5,F1 Macro,0.9134174927621674,"ACF, correlation-only",ACF+Ridge,0.81,0.051520477382933624,0.027345134560400497,0.04825466571910263,,10.0,90.0,50.0,0.0
6,F1 Macro,0.9822647867340605,"ACF, with covariable",ACF+SVC,0.81,0.051520477382933624,0.027345134560400497,0.04825466571910263,,10.0,90.0,50.0,0.0
7,F1 Macro,0.9418435591741785,"ACF, with covariable",ACF+RF,0.81,0.051520477382933624,0.027345134560400497,0.04825466571910263,,10.0,90.0,50.0,0.0
8,F1 Macro,0.9259259259259259,"ACF, with covariable",ACF+Ridge,0.81,0.051520477382933624,0.027345134560400497,0.04825466571910263,,10.0,90.0,50.0,0.0
9,F1 Macro,0.7587962962962963,KNN,KNN,0.81,0.051520477382933624,0.027345134560400497,0.04825466571910263,1.4,10.0,90.0,50.0,0.0
10,F1 Macro,0.8110087408457359,KNN,KNN+ROs,0.81,0.051520477382933624,0.027345134560400497,0.04825466571910263,66.5,10.0,90.0,50.0,0.0
11,F1 Macro,0.8839177150797787,DBC,DBC,0.81,0.051520477382933624,0.027345134560400497,0.04825466571910263,,10.0,90.0,50.0,0.0
12,F1 Macro,0.3067604589120578,Listwise Deletion,SVC,0.81,0.049860670132286185,0.0009215183967315188,0.03894724570074967,,13.0,87.0,50.0,0.0
13,F1 Macro,0.33811849841700586,Listwise Deletion,RF,0.81,0.049860670132286185,0.0009215183967315188,0.03894724570074967,,13.0,87.0,50.0,0.0
14,F1 Macro,0.2593880310415743,Listwise Deletion,Ridge,0.81,0.049860670132286185,0.0009215183967315188,0.03894724570074967,,13.0,87.0,50.0,0.0
15,F1 Macro,0.9705275567344533,"ACF, correlation-only",ACF+SVC,0.81,0.049860670132286185,0.0009215183967315188,0.03894724570074967,,13.0,87.0,50.0,0.0
16,F1 Macro,0.9038425271098539,"ACF, correlation-only",ACF+RF,0.81,0.049860670132286185,0.0009215183967315188,0.03894724570074967,,13.0,87.0,50.0,0.0
17,F1 Macro,0.8204232414758731,"ACF, correlation-only",ACF+Ridge,0.81,0.049860670132286185,0.0009215183967315188,0.03894724570074967,,13.0,87.0,50.0,0.0
18,F1 Macro,0.9705275567344533,"ACF, with covariable",ACF+SVC,0.81,0.049860670132286185,0.0009215183967315188,0.03894724570074967,,13.0,87.0,50.0,0.0
