,Metric,Value,Method,Algorithm,mv,sigma,diff_mu_12_mu_11,diff_mu_13_mu_23,Neighbors,Repetition
0,F1 Macro,0.9673185758292142,"ACF, correlation-only",ACF+SVC,0.905,0.10381261291386513,0.027951967512148956,0.04298858083897093,,0.0
1,F1 Macro,0.9523809523809524,"ACF, correlation-only",ACF+RF,0.905,0.10381261291386513,0.027951967512148956,0.04298858083897093,,0.0
2,F1 Macro,0.9414838035527691,"ACF, correlation-only",ACF+Ridge,0.905,0.10381261291386513,0.027951967512148956,0.04298858083897093,,0.0
3,F1 Macro,0.975958648876067,"ACF, with covariable",ACF+SVC,0.905,0.10381261291386513,0.027951967512148956,0.04298858083897093,,0.0
4,F1 Macro,0.9841269841269842,"ACF, with covariable",ACF+RF,0.905,0.10381261291386513,0.027951967512148956,0.04298858083897093,,0.0
5,F1 Macro,0.9142581840601642,"ACF, with covariable",ACF+Ridge,0.905,0.10381261291386513,0.027951967512148956,0.04298858083897093,,0.0
6,F1 Macro,0.6921436433681892,KNN,KNN,0.905,0.10381261291386513,0.027951967512148956,0.04298858083897093,7.8,0.0
7,F1 Macro,0.8096139310425023,KNN,KNN+ROs,0.905,0.10381261291386513,0.027951967512148956,0.04298858083897093,80.1,0.0
8,F1 Macro,0.8823380836519523,DBC,DBC,0.905,0.10381261291386513,0.027951967512148956,0.04298858083897093,,0.0
9,F1 Macro,0.30141391889089464,Listwise Deletion,SVC,0.905,0.10381261291386513,0.027951967512148956,0.04298858083897093,,0.0
10,F1 Macro,0.2827311382711102,Listwise Deletion,RF,0.905,0.10381261291386513,0.027951967512148956,0.04298858083897093,,0.0
11,F1 Macro,0.2845280062671367,Listwise Deletion,Ridge,0.905,0.10381261291386513,0.027951967512148956,0.04298858083897093,,0.0
12,F1 Macro,0.9059770114942528,"ACF, correlation-only",ACF+SVC,0.9045349857672899,0.1020902637939673,0.015409285272915768,0.042696513223364374,,0.0
13,F1 Macro,0.8938664667745031,"ACF, correlation-only",ACF+RF,0.9045349857672899,0.1020902637939673,0.015409285272915768,0.042696513223364374,,0.0
14,F1 Macro,0.8683621269855081,"ACF, correlation-only",ACF+Ridge,0.9045349857672899,0.1020902637939673,0.015409285272915768,0.042696513223364374,,0.0
15,F1 Macro,0.9682539682539683,"ACF, with covariable",ACF+SVC,0.9045349857672899,0.1020902637939673,0.015409285272915768,0.042696513223364374,,0.0
16,F1 Macro,0.9494609033511413,"ACF, with covariable",ACF+RF,0.9045349857672899,0.1020902637939673,0.015409285272915768,0.042696513223364374,,0.0
17,F1 Macro,0.9493303725976993,"ACF, with covariable",ACF+Ridge,0.9045349857672899,0.1020902637939673,0.015409285272915768,0.042696513223364374,,0.0
18,F1 Macro,0.6833333333333332,KNN,KNN,0.9045349857672899,0.1020902637939673,0.015409285272915768,0.042696513223364374,12.4,0.0
19,F1 Macro,0.7153164671934715,KNN,KNN+ROs,0.9045349857672899,0.1020902637939673,0.015409285272915768,0.042696513223364374,97.2,0.0
20,F1 Macro,0.8250531168796983,DBC,DBC,0.9045349857672899,0.1020902637939673,0.015409285272915768,0.042696513223364374,,0.0
21,F1 Macro,0.32022038341519093,Listwise Deletion,SVC,0.9045349857672899,0.1020902637939673,0.015409285272915768,0.042696513223364374,,0.0
22,F1 Macro,0.3794041378927809,Listwise Deletion,RF,0.9045349857672899,0.1020902637939673,0.015409285272915768,0.042696513223364374,,0.0
23,F1 Macro,0.3290241640757105,Listwise Deletion,Ridge,0.9045349857672899,0.1020902637939673,0.015409285272915768,0.042696513223364374,,0.0
24,F1 Macro,0.9220819697678042,"ACF, correlation-only",ACF+SVC,0.9040483477109175,0.10106076924535398,0.01856295228600216,0.032484503589165714,,0.0
