,Metric,Value,Method,Algorithm,mv,sigma,diff_mu_12_mu_11,diff_mu_13_mu_23,Neighbors,size
0,F1 Macro,0.8023550724637681,ACF,ACF+SVC,0.81,0.05161147232932796,0.016474306635388763,0.03902479546213404,,50.0
1,F1 Macro,0.7864357864357864,ACF,ACF+RF,0.81,0.05161147232932796,0.016474306635388763,0.03902479546213404,,50.0
2,F1 Macro,0.8402777777777777,ACF,ACF+Ridge,0.81,0.05161147232932796,0.016474306635388763,0.03902479546213404,,50.0
3,F1 Macro,0.6625,KNN,KNN,0.81,0.05161147232932796,0.016474306635388763,0.03902479546213404,7.1,50.0
4,F1 Macro,0.7467846163498337,KNN,KNN+ROs,0.81,0.05161147232932796,0.016474306635388763,0.03902479546213404,15.3,50.0
5,F1 Macro,0.7653849418555301,DBC,DBC,0.81,0.05161147232932796,0.016474306635388763,0.03902479546213404,15.3,50.0
6,F1 Macro,0.9813756613756613,ACF,ACF+SVC,0.81,0.0501991980612492,0.021347115562939,0.0431221911519207,,68.0
7,F1 Macro,0.9018952062430322,ACF,ACF+RF,0.81,0.0501991980612492,0.021347115562939,0.0431221911519207,,68.0
8,F1 Macro,0.9418399044205495,ACF,ACF+Ridge,0.81,0.0501991980612492,0.021347115562939,0.0431221911519207,,68.0
9,F1 Macro,0.6534966643662296,KNN,KNN,0.81,0.0501991980612492,0.021347115562939,0.0431221911519207,12.8,68.0
10,F1 Macro,0.7381593630177788,KNN,KNN+ROs,0.81,0.0501991980612492,0.021347115562939,0.0431221911519207,30.8,68.0
11,F1 Macro,0.8651340996168583,DBC,DBC,0.81,0.0501991980612492,0.021347115562939,0.0431221911519207,30.8,68.0
12,F1 Macro,0.957351290684624,ACF,ACF+SVC,0.81,0.05204162975835633,0.024268844786057564,0.03761269457630664,,86.0
13,F1 Macro,0.9261562378546445,ACF,ACF+RF,0.81,0.05204162975835633,0.024268844786057564,0.03761269457630664,,86.0
14,F1 Macro,0.837712096332786,ACF,ACF+Ridge,0.81,0.05204162975835633,0.024268844786057564,0.03761269457630664,,86.0
15,F1 Macro,0.8544061302681992,KNN,KNN,0.81,0.05204162975835633,0.024268844786057564,0.03761269457630664,6.6,86.0
16,F1 Macro,0.8252364919031586,KNN,KNN+ROs,0.81,0.05204162975835633,0.024268844786057564,0.03761269457630664,38.3,86.0
17,F1 Macro,0.9145397328403865,DBC,DBC,0.81,0.05204162975835633,0.024268844786057564,0.03761269457630664,38.3,86.0
18,F1 Macro,0.9885029153321837,ACF,ACF+SVC,0.81,0.050955815602672136,0.020214404785192097,0.036754967517000595,,105.0
19,F1 Macro,0.9773242630385487,ACF,ACF+RF,0.81,0.050955815602672136,0.020214404785192097,0.036754967517000595,,105.0
20,F1 Macro,0.9766666666666667,ACF,ACF+Ridge,0.81,0.050955815602672136,0.020214404785192097,0.036754967517000595,,105.0
21,F1 Macro,0.8379629629629629,KNN,KNN,0.81,0.050955815602672136,0.020214404785192097,0.036754967517000595,11.5,105.0
22,F1 Macro,0.8265954741927283,KNN,KNN+ROs,0.81,0.050955815602672136,0.020214404785192097,0.036754967517000595,42.2,105.0
23,F1 Macro,0.9773242630385487,DBC,DBC,0.81,0.050955815602672136,0.020214404785192097,0.036754967517000595,42.2,105.0
24,F1 Macro,0.9692307692307692,ACF,ACF+SVC,0.81,0.050922672958596565,0.017768331745970367,0.039296130414197925,,123.0
25,F1 Macro,0.9692307692307692,ACF,ACF+RF,0.81,0.050922672958596565,0.017768331745970367,0.039296130414197925,,123.0
26,F1 Macro,0.9583975346687211,ACF,ACF+Ridge,0.81,0.050922672958596565,0.017768331745970367,0.039296130414197925,,123.0
27,F1 Macro,0.8232143920056861,KNN,KNN,0.81,0.050922672958596565,0.017768331745970367,0.039296130414197925,10.8,123.0
28,F1 Macro,0.9066334428210064,KNN,KNN+ROs,0.81,0.050922672958596565,0.017768331745970367,0.039296130414197925,60.8,123.0
29,F1 Macro,0.9500462534690102,DBC,DBC,0.81,0.050922672958596565,0.017768331745970367,0.039296130414197925,60.8,123.0
30,F1 Macro,0.9833775419982317,ACF,ACF+SVC,0.81,0.050543449830056,0.022027600481315884,0.03519699323290809,,142.0
31,F1 Macro,0.9816392833936693,ACF,ACF+RF,0.81,0.050543449830056,0.022027600481315884,0.03519699323290809,,142.0
32,F1 Macro,0.9914331282752334,ACF,ACF+Ridge,0.81,0.050543449830056,0.022027600481315884,0.03519699323290809,,142.0
33,F1 Macro,0.8720259176893722,KNN,KNN,0.81,0.050543449830056,0.022027600481315884,0.03519699323290809,5.7,142.0
34,F1 Macro,0.9823769884736692,KNN,KNN+ROs,0.81,0.050543449830056,0.022027600481315884,0.03519699323290809,44.2,142.0
35,F1 Macro,0.9748225525646177,DBC,DBC,0.81,0.050543449830056,0.022027600481315884,0.03519699323290809,44.2,142.0
36,F1 Macro,1.0,ACF,ACF+SVC,0.81,0.05103132935147871,0.0234811719756767,0.03937232519217819,,160.0
37,F1 Macro,1.0,ACF,ACF+RF,0.81,0.05103132935147871,0.0234811719756767,0.03937232519217819,,160.0
38,F1 Macro,0.9926042211756498,ACF,ACF+Ridge,0.81,0.05103132935147871,0.0234811719756767,0.03937232519217819,,160.0
39,F1 Macro,0.8512532839484904,KNN,KNN,0.81,0.05103132935147871,0.0234811719756767,0.03937232519217819,6.8,160.0
40,F1 Macro,0.9415309466864077,KNN,KNN+ROs,0.81,0.05103132935147871,0.0234811719756767,0.03937232519217819,58.3,160.0
41,F1 Macro,0.9853327798533278,DBC,DBC,0.81,0.05103132935147871,0.0234811719756767,0.03937232519217819,58.3,160.0
42,F1 Macro,0.9795192224247158,ACF,ACF+SVC,0.81,0.050690210745316294,0.01871791836320033,0.041346974316929686,,178.0
43,F1 Macro,0.9864601262191623,ACF,ACF+RF,0.81,0.050690210745316294,0.01871791836320033,0.041346974316929686,,178.0
44,F1 Macro,0.9494754870477414,ACF,ACF+Ridge,0.81,0.050690210745316294,0.01871791836320033,0.041346974316929686,,178.0
45,F1 Macro,0.7792543839602665,KNN,KNN,0.81,0.050690210745316294,0.01871791836320033,0.041346974316929686,7.7,178.0
46,F1 Macro,0.9377997204084161,KNN,KNN+ROs,0.81,0.050690210745316294,0.01871791836320033,0.041346974316929686,56.1,178.0
47,F1 Macro,0.9658653707078596,DBC,DBC,0.81,0.050690210745316294,0.01871791836320033,0.041346974316929686,56.1,178.0
48,F1 Macro,0.9939389700911486,ACF,ACF+SVC,0.81,0.05127196028405531,0.017978889747851806,0.03792820590737729,,197.0
49,F1 Macro,0.9938495020462232,ACF,ACF+RF,0.81,0.05127196028405531,0.017978889747851806,0.03792820590737729,,197.0
50,F1 Macro,1.0,ACF,ACF+Ridge,0.81,0.05127196028405531,0.017978889747851806,0.03792820590737729,,197.0
51,F1 Macro,0.8427102238354506,KNN,KNN,0.81,0.05127196028405531,0.017978889747851806,0.03792820590737729,9.3,197.0
52,F1 Macro,0.9820677288088834,KNN,KNN+ROs,0.81,0.05127196028405531,0.017978889747851806,0.03792820590737729,102.3,197.0
53,F1 Macro,0.9643738010413813,DBC,DBC,0.81,0.05127196028405531,0.017978889747851806,0.03792820590737729,102.3,197.0
54,F1 Macro,0.9830256988545315,ACF,ACF+SVC,0.81,0.05108275888448914,0.02236786718284714,0.04072050717757056,,215.0
55,F1 Macro,1.0,ACF,ACF+RF,0.81,0.05108275888448914,0.02236786718284714,0.04072050717757056,,215.0
56,F1 Macro,0.9830256988545315,ACF,ACF+Ridge,0.81,0.05108275888448914,0.02236786718284714,0.04072050717757056,,215.0
