,Algorithm,References,Train Size,Runtime,Value,sigma,diff_mu_12_mu_11,diff_mu_13_mu_23
0,KNN,Naive (All),100.0,0.02270739177862803,0.780944898386759,0.08135591801137691,0.023081370081576152,0.03866333604373097
1,DBC,Naive (All),100.0,0.024468956080575786,0.8503335417969565,0.08135591801137691,0.023081370081576152,0.03866333604373097
2,F-ACF,10,100.0,0.006916978272298971,0.6839945280437756,0.08135591801137691,0.023081370081576152,0.03866333604373097
3,F-DBC,10,100.0,0.008213637582957744,0.7645502645502645,0.08135591801137691,0.023081370081576152,0.03866333604373097
4,"F-ACF, Optimized",10,100.0,0.195020264480263,0.834670008354219,0.08135591801137691,0.023081370081576152,0.03866333604373097
5,F-ACF,20,100.0,0.013817841776957114,0.771345029239766,0.08135591801137691,0.023081370081576152,0.03866333604373097
6,F-DBC,20,100.0,0.015111714849869411,0.8666666666666667,0.08135591801137691,0.023081370081576152,0.03866333604373097
7,"F-ACF, Optimized",20,100.0,0.25206457019473116,0.899749373433584,0.08135591801137691,0.023081370081576152,0.03866333604373097
8,F-ACF,30,100.0,0.020343275678654512,0.9331094582012575,0.08135591801137691,0.023081370081576152,0.03866333604373097
9,F-DBC,30,100.0,0.02200660143668453,0.8169809344227948,0.08135591801137691,0.023081370081576152,0.03866333604373097
10,"F-ACF, Optimized",30,100.0,0.2571198371859888,0.9499687304565354,0.08135591801137691,0.023081370081576152,0.03866333604373097
11,KNN,Naive (All),105.0,0.023364095948636532,0.8003318003318003,0.08135591801137691,0.023081370081576152,0.03866333604373097
12,DBC,Naive (All),105.0,0.02536931528399388,0.860241066123419,0.08135591801137691,0.023081370081576152,0.03866333604373097
13,F-ACF,10,105.0,0.00686061792075634,0.8102417907295956,0.08135591801137691,0.023081370081576152,0.03866333604373097
14,F-DBC,10,105.0,0.008148394369830688,0.7697903294822422,0.08135591801137691,0.023081370081576152,0.03866333604373097
