,Class,Left-Out Correlation,Precision,Recall,F1 Score
0,acinar,acinar,0.14455407310338864,0.12925495557074496,0.13663386969705826
1,acinar,acinar,0.19548962403893955,0.23092959671907032,0.21309383357424072
2,acinar,acinar,0.25011872122122825,0.10105946684894052,0.18288586331747292
3,acinar,acinar,0.21891304746236306,0.10105946684894052,0.1643965262022299
4,acinar,acinar,0.20806033428406845,0.11609706083390292,0.16469223108875308
5,acinar,activated_stellate,-0.047753619204303654,-0.015481886534518208,-0.031850978787790085
6,acinar,activated_stellate,0.040853975732405234,0.023137388926862568,0.03173876480195348
7,acinar,activated_stellate,0.013974775857424793,-0.028810663021189398,-0.0072096285768196156
8,acinar,activated_stellate,0.0028792921881014566,-0.015823650034176406,-0.006722773659584957
9,acinar,activated_stellate,-0.008279934993777327,-0.0023239917976760616,-0.005710627910597177
10,acinar,alpha,-0.047753619204303654,-0.015481886534518208,-0.031850978787790085
11,acinar,alpha,0.0281957478843039,0.010150375939849576,0.018918251981440593
12,acinar,alpha,0.036583730193286756,-0.028810663021189398,0.00481568787887654
13,acinar,alpha,0.0035284320777476674,-0.002836637047163415,-2.3021798542965932e-05
14,acinar,alpha,-0.0340549890673173,0.010833902939166085,-0.011627265141257781
15,acinar,beta,-0.047753619204303654,0.010833902939166085,-0.01815728509409653
16,acinar,beta,0.040853975732405234,0.023137388926862568,0.03173876480195348
17,acinar,beta,0.02453553742220238,-0.04179767600820239,-0.007684312121123527
18,acinar,beta,0.015537520036202679,-0.002836637047163415,0.0060977391609277065
19,acinar,beta,-0.021086952537637038,-0.0023239917976760616,-0.012071729339666604
20,acinar,delta,-0.047753619204303654,-0.0023239917976760616,-0.02505008393320407
21,acinar,delta,0.040853975732405234,0.023137388926862568,0.03173876480195348
22,acinar,delta,0.01322199055179396,-0.04179767600820239,-0.013737771240620367
23,acinar,delta,0.0272463807956963,-0.002836637047163415,0.012140528643207693
24,acinar,delta,-0.02072659217727668,0.010833902939166085,-0.005184312121123358
25,acinar,ductal,-0.047753619204303654,-0.0023239917976760616,-0.02505008393320407
26,acinar,ductal,0.03866613388211615,-0.002836637047163415,0.01810682711938283
27,acinar,ductal,0.013974775857424793,-0.028810663021189398,-0.0072096285768196156
28,acinar,ductal,0.015537520036202679,-0.002836637047163415,0.0060977391609277065
29,acinar,ductal,0.004194432743748311,-0.0023239917976760616,0.0005673218658046597
30,acinar,endothelial,-0.047753619204303654,-0.0023239917976760616,-0.02505008393320407
31,acinar,endothelial,0.040853975732405234,0.023137388926862568,0.03173876480195348
32,acinar,endothelial,0.013974775857424793,-0.028810663021189398,-0.0072096285768196156
33,acinar,endothelial,0.014746380795696346,-0.015823650034176406,-0.0005983248599770175
34,acinar,endothelial,-0.021086952537637038,-0.0023239917976760616,-0.012071729339666604
35,acinar,gamma,-0.047753619204303654,-0.0023239917976760616,-0.02505008393320407
36,acinar,gamma,0.03974638079569637,0.010150375939849576,0.024879382146392515
37,acinar,gamma,0.02453553742220238,-0.04179767600820239,-0.007684312121123527
38,acinar,gamma,0.016348944898260442,0.010150375939849576,0.012880204007908791
39,acinar,gamma,-0.047753619204303654,0.010833902939166085,-0.01815728509409653
40,acinar,quiescent_stellate,-0.034420285870970346,-0.015481886534518208,-0.025316762452249342
41,acinar,quiescent_stellate,0.03974638079569637,0.010150375939849576,0.024879382146392515
42,acinar,quiescent_stellate,0.0016290968450790588,-0.04179767600820239,-0.01986785642492095
43,acinar,quiescent_stellate,0.014746380795696346,-0.015823650034176406,-0.0005983248599770175
44,acinar,quiescent_stellate,-0.021086952537637038,-0.0023239917976760616,-0.012071729339666604
50,activated_stellate,acinar,0.037000000000000144,-0.10553359683794472,-0.023138468448220206
51,activated_stellate,acinar,-0.02309615384615371,-0.018577075098814233,-0.026106928559537446
52,activated_stellate,acinar,0.06553260869565236,0.15533596837944663,0.10255323115652282
53,activated_stellate,acinar,0.015365384615384725,0.024901185770750955,0.014709397971074734
54,activated_stellate,acinar,0.09741666666666682,-0.0067193675889328786,0.05238600707625529
55,activated_stellate,activated_stellate,0.16921153846153858,-0.06205533596837953,0.08712546117054798
56,activated_stellate,activated_stellate,0.14799137931034495,0.11185770750988133,0.12930908399933216
57,activated_stellate,activated_stellate,0.2640833333333335,0.242292490118577,0.25267628283822907
58,activated_stellate,activated_stellate,0.0011203703703704937,-0.018577075098814233,-0.012229377539129449
59,activated_stellate,activated_stellate,0.18630555555555572,-0.0067193675889328786,0.11604648452983612
60,activated_stellate,alpha,0.047416666666666774,-0.1924901185770751,-0.04409378431879052
61,activated_stellate,alpha,-0.051068181818181624,0.06837944664031614,0.0011039557942039702
62,activated_stellate,alpha,0.022054347826087062,0.11185770750988133,0.05907497028695752
63,activated_stellate,alpha,0.09741666666666682,0.024901185770750955,0.06399703755521013
64,activated_stellate,alpha,0.01784677419354852,-0.14308300395256923,-0.04921050961460105
65,activated_stellate,beta,-0.08353571428571416,-0.1490118577075099,-0.11654310302932547
66,activated_stellate,beta,-0.08353571428571416,0.06837944664031614,-0.014047559357311279
67,activated_stellate,beta,0.2113951612903227,0.15533596837944663,0.1862891409793891
68,activated_stellate,beta,0.13075000000000014,0.15533596837944663,0.13715837756291138
69,activated_stellate,beta,0.08529545454545473,-0.09762845849802382,0.013225167915416058
70,activated_stellate,delta,-0.04666935483870949,-0.1924901185770751,-0.11000715531690708
71,activated_stellate,delta,-0.00561363636363621,0.11185770750988133,0.04554840023864826
72,activated_stellate,delta,0.14687903225806465,0.06837944664031614,0.11221506690531502
73,activated_stellate,delta,0.05382692307692327,0.06837944664031614,0.05552572450168691
74,activated_stellate,delta,0.030750000000000166,-0.09762845849802382,-0.02453706984682169
75,activated_stellate,ductal,-0.02442241379310328,-0.10553359683794472,-0.06299860830836024
76,activated_stellate,ductal,-0.051068181818181624,0.06837944664031614,0.0011039557942039702
77,activated_stellate,ductal,0.13075000000000014,0.15533596837944663,0.13715837756291138
78,activated_stellate,ductal,0.07519444444444456,0.06837944664031614,0.06777062246087062
79,activated_stellate,ductal,0.09950000000000014,-0.05217391304347829,0.03814099283124095
80,activated_stellate,endothelial,-0.06924999999999981,-0.1924901185770751,-0.12468220772780869
81,activated_stellate,endothelial,-0.021423913043478127,0.06837944664031614,0.01559670941739233
82,activated_stellate,endothelial,0.13075000000000014,0.11185770750988133,0.1187510146177333
83,activated_stellate,endothelial,0.09228846153846171,0.11185770750988133,0.09634205103229909
84,activated_stellate,endothelial,0.005750000000000144,-0.18853754940711465,-0.07297011827986999
85,activated_stellate,gamma,-0.06924999999999981,-0.1924901185770751,-0.12468220772780869
86,activated_stellate,gamma,-0.049249999999999905,-0.018577075098814233,-0.04056271087246277
87,activated_stellate,gamma,0.13075000000000014,0.11185770750988133,0.1187510146177333
88,activated_stellate,gamma,-0.035916666666666486,0.11185770750988133,0.031406986097234135
89,activated_stellate,gamma,0.09950000000000014,-0.05217391304347829,0.03814099283124095
90,activated_stellate,quiescent_stellate,-0.058905172413793006,-0.1490118577075099,-0.10146014676989867
91,activated_stellate,quiescent_stellate,-0.051068181818181624,0.06837944664031614,0.0011039557942039702
92,activated_stellate,quiescent_stellate,0.11223148148148165,0.11185770750988133,0.10777062246087066
93,activated_stellate,quiescent_stellate,0.05382692307692327,0.06837944664031614,0.05552572450168691
94,activated_stellate,quiescent_stellate,0.050104838709677524,-0.09762845849802382,-0.011474660557997396
100,alpha,acinar,-0.022282015901176178,0.006451612903225823,-0.0076941602752556015
101,alpha,acinar,0.013258451562622398,-0.004301075268817178,0.004252338266417133
102,alpha,acinar,-0.016915121167637825,0.006451612903225823,-0.005120022084678988
103,alpha,acinar,-0.011884101691728044,0.0010752688172043223,-0.005463420987295686
104,alpha,acinar,0.0025632643968470648,-0.01505376344086029,-0.006471522323395096
105,alpha,activated_stellate,-0.020910184179200764,0.03870967741935483,0.010078569787977165
106,alpha,activated_stellate,0.007175210185263459,-0.02043010752688179,-0.006800387381482698
107,alpha,activated_stellate,-0.027125099977115763,0.022580645161290325,-0.0014670540481493966
108,alpha,activated_stellate,-0.012427530728952862,-0.009677419354838679,-0.011223151609125015
109,alpha,activated_stellate,0.022602667717984137,-0.009677419354838679,0.006334364391566982
110,alpha,alpha,0.14139966019918715,0.3559139784946236,0.26728947677734693
111,alpha,alpha,0.23287066900955655,0.3075268817204301,0.2728404913195679
112,alpha,alpha,0.12139867734990706,0.2537634408602151,0.19440315244152617
113,alpha,alpha,0.16480723574181722,0.2645161290322581,0.2188228010243144
114,alpha,alpha,0.1489184571916683,0.2806451612903226,0.22180710768755085
115,alpha,beta,0.01142584926736312,0.03870967741935483,0.02527287269177736
116,alpha,beta,0.042558808068861254,0.0010752688172043223,0.021813369232273838
117,alpha,beta,-0.0008343779348219948,0.011827956989247324,0.005435761574012377
118,alpha,beta,0.0012492842593374576,0.04408602150537633,0.023279021667455435
119,alpha,beta,0.044991126173768214,-0.02043010752688179,0.012806227065862763
120,alpha,delta,-0.011046060844996375,0.017204301075268824,0.0032948507137553484
121,alpha,delta,0.00943039276831481,0.011827956989247324,0.010457065193043014
122,alpha,delta,-0.005741936810095827,0.017204301075268824,0.005838882024910119
123,alpha,delta,0.010614363624416812,0.027956989247311825,0.019297973274254976
124,alpha,delta,0.025823835391265648,0.027956989247311825,0.02671722779466912
125,alpha,ductal,-0.021377973540334105,0.027956989247311825,0.004088501507406139
126,alpha,ductal,0.01733950982324728,-0.01505376344086029,0.001015215455396734
127,alpha,ductal,-0.011607858597805332,0.006451612903225823,-0.002559950223012808
128,alpha,ductal,-0.022501713346408714,0.0010752688172043223,-0.010599474139473486
129,alpha,ductal,0.022602667717984137,-0.009677419354838679,0.006334364391566982
130,alpha,endothelial,-0.027516949506896315,0.011827956989247324,-0.007360240051832667
131,alpha,endothelial,0.023048226058279275,-0.004301075268817178,0.009199612618517428
132,alpha,endothelial,-0.01716341415336098,0.0010752688172043223,-0.008024431097329643
133,alpha,endothelial,-0.022282015901176178,0.006451612903225823,-0.0076941602752556015
134,alpha,endothelial,0.01775722076727404,-0.009677419354838679,0.0038662792851840155
135,alpha,gamma,-0.03721761469536633,0.06559139784946233,0.017580564999469694
136,alpha,gamma,0.033897759379722725,0.06021505376344083,0.04725089466979937
137,alpha,gamma,-0.0054280833169064735,0.022580645161290325,0.008789356208260823
138,alpha,gamma,0.007357658643573961,0.05483870967741933,0.03186627928518393
139,alpha,gamma,0.02611143964780871,0.08709677419354833,0.057916699453251064
140,alpha,quiescent_stellate,-0.022282015901176178,0.006451612903225823,-0.0076941602752556015
141,alpha,quiescent_stellate,0.0025632643968470648,-0.01505376344086029,-0.006471522323395096
142,alpha,quiescent_stellate,-0.011607858597805332,0.006451612903225823,-0.002559950223012808
143,alpha,quiescent_stellate,-0.011328528988866826,0.011827956989247324,0.00035942997011551014
144,alpha,quiescent_stellate,0.007175210185263459,-0.02043010752688179,-0.006800387381482698
150,beta,acinar,0.0012887485705140866,-0.011881188118811892,-0.00580421397536679
151,beta,acinar,0.01820862796514544,0.07722772277227719,0.05049317088151828
152,beta,acinar,-0.017644173989351475,0.007920792079207928,-0.004077199943377963
153,beta,acinar,0.001939807898295287,-0.001980198019801982,-0.0002899935998073033
154,beta,acinar,-0.007977364322541813,-0.001980198019801982,-0.004949540790738061
155,beta,activated_stellate,0.015254714747100717,-0.016831683168316847,-0.0016292195272211707
156,beta,activated_stellate,0.03536926725938394,0.04752475247524757,0.041756880684748365
157,beta,activated_stellate,-0.024045311969436822,-0.0217821782178218,-0.02302198716059034
158,beta,activated_stellate,0.019920663575486053,-0.016831683168316847,0.0006514822271647125
159,beta,activated_stellate,-0.016442972788150323,0.0326732673267327,0.01012792201774071
160,beta,alpha,0.04680489045971292,0.022772277227722793,0.03407717492237883
161,beta,alpha,0.055514699169521675,0.05742574257425748,0.05643153337805984
162,beta,alpha,0.013978892927833053,0.027722772277227747,0.02119132798551948
163,beta,alpha,0.017646614181017872,0.012871287128712883,0.014977181972711806
164,beta,alpha,0.03002167367649622,0.04257425742574261,0.03661549250994112
165,beta,beta,0.13790776349029688,0.22574257425742572,0.1878253952706429
166,beta,beta,0.15065104430586684,0.27524752475247527,0.22350064423833793
167,beta,beta,0.10778728156258599,0.20099009900990095,0.16065148222716474
168,beta,beta,0.11252298739168276,0.17623762376237628,0.14798481556049814
169,beta,beta,0.10803150168632425,0.27524752475247527,0.2077943393700219
170,beta,delta,0.04680489045971292,0.022772277227722793,0.03407717492237883
171,beta,delta,0.04376374555810292,0.12178217821782178,0.08712207046245879
172,beta,delta,0.016890360545183003,0.06237623762376243,0.04154153458318577
173,beta,delta,0.057392152659878404,0.07227722772277223,0.06529065748489671
174,beta,delta,0.007294400949223512,0.07227722772277223,0.04292661450229707
175,beta,ductal,0.01723758276740528,0.007920792079207928,0.012174324866758623
176,beta,ductal,0.02288221627525866,0.017821782178217838,0.02006624049688488
177,beta,ductal,-0.007977364322541813,-0.001980198019801982,-0.004949540790738061
178,beta,ductal,0.01202924943407191,0.002970297029702973,0.007098182734778913
179,beta,ductal,-0.011436867782045224,0.027722772277227747,0.009609815560498114
180,beta,endothelial,0.021163864818687372,-0.001980198019801982,0.008888258045804509
181,beta,endothelial,0.021079795882159358,0.05247524752475252,0.03792420949989206
182,beta,endothelial,-0.023653374679403205,-0.011881188118811892,-0.017553645977963495
183,beta,endothelial,0.005779249434071931,-0.016831683168316847,-0.006225092080139993
184,beta,endothelial,-0.017876664544422716,0.002970297029702973,-0.006874290968711616
185,beta,gamma,0.015643195012303268,-0.011881188118811892,0.0011037435336973545
186,beta,gamma,0.014381399971706399,0.0326732673267327,0.024053544082834888
187,beta,gamma,-0.0032957941959455006,-0.006930693069306937,-0.005379052123980377
188,beta,gamma,0.012796793293721076,0.012871287128712883,0.012692298553695469
189,beta,gamma,-0.01619467980242717,0.03762376237623766,0.013013686951574122
190,beta,quiescent_stellate,0.010541154195976676,-0.016831683168316847,-0.00392138209444326
191,beta,quiescent_stellate,0.02376866742348993,0.027722772277227747,0.02574099629366078
192,beta,quiescent_stellate,-0.013268369613547049,-0.006930693069306937,-0.010064630304804534
193,beta,quiescent_stellate,0.006470095720773172,-0.006930693069306937,-0.0007409228361263676
194,beta,quiescent_stellate,-0.0226360511123761,0.012871287128712883,-0.0036342320585494026
200,delta,acinar,-0.029119155839558486,-0.04583333333333339,-0.03721003757213748
201,delta,acinar,0.01552370130329861,0.12083333333333324,0.06375150088940096
202,delta,acinar,0.0065951298747272125,-0.004166666666666763,0.0012515008894009583
203,delta,acinar,0.009475314206524366,-0.08750000000000013,-0.030566680928780898
204,delta,acinar,-0.03282535530047492,-0.004166666666666763,-0.021025726833371228
205,delta,activated_stellate,0.0012693153383863676,-0.025000000000000133,-0.010653261015360904
206,delta,activated_stellate,-0.005309632030034761,0.09999999999999987,0.04291816755606759
207,delta,activated_stellate,0.01969036796996526,-0.04583333333333339,-0.008007758369858231
208,delta,activated_stellate,0.014499111139364196,-0.06666666666666676,-0.01939070094546147
209,delta,activated_stellate,-0.011262012982415692,-0.025000000000000133,-0.017979268341368204
210,delta,alpha,0.16135703463663198,-0.004166666666666763,0.10125150088940094
211,delta,alpha,0.1830237013032986,0.2666666666666666,0.22063925599144174
212,delta,alpha,0.17272067100026833,0.07916666666666661,0.1372164131701027
213,delta,alpha,0.2030237013032986,0.07916666666666661,0.15803116190635003
214,delta,alpha,0.1442001718915339,0.016666666666666607,0.09607908709629753
215,delta,beta,0.25707775535735267,0.12083333333333324,0.21026789433202397
216,delta,beta,0.33159512987472717,0.2666666666666666,0.310573534787706
217,delta,beta,0.25526250727344785,0.18333333333333324,0.22951237045461825
218,delta,beta,0.24249738551382494,0.07916666666666661,0.18673537185714295
219,delta,beta,0.3002459235255208,0.2041666666666666,0.2679181675560676
220,delta,delta,0.30679728620895896,0.37083333333333324,0.33540991673098514
221,delta,delta,0.35008252483271035,0.30833333333333324,0.3374583974411251
222,delta,delta,0.33537664247976917,0.28749999999999987,0.3202170181307803
223,delta,delta,0.3477605434085618,0.24583333333333324,0.315767629921659
224,delta,delta,0.2931876357295281,0.28749999999999987,0.2925359045591257
225,delta,ductal,0.047851287510195184,0.016666666666666607,0.03427036881392931
226,delta,ductal,-0.005309632030034761,0.09999999999999987,0.04291816755606759
227,delta,ductal,-0.01395743077217304,0.016666666666666607,-0.0012237466353515192
228,delta,ductal,0.04200675215075622,-0.004166666666666763,0.022279538272578447
229,delta,ductal,-0.0191985209189236,-0.004166666666666763,-0.013454381463540166
230,delta,endothelial,-0.03771703943744209,-0.025000000000000133,-0.03306222460079511
231,delta,endothelial,0.00089604172883051,0.12083333333333324,0.05651465878413775
232,delta,endothelial,-0.029119155839558486,-0.04583333333333339,-0.03721003757213748
233,delta,endothelial,0.02560434646458898,-0.06666666666666676,-0.0123848627469626
234,delta,endothelial,-0.08129002418689746,-0.025000000000000133,-0.05682930719140711
235,delta,gamma,0.05487555315515047,0.07916666666666661,0.0649769910854795
236,delta,gamma,-0.00429337186743306,0.2041666666666666,0.09956610763097407
237,delta,gamma,-0.020380554015850372,0.09999999999999987,0.03546202720519043
238,delta,gamma,0.008108447066010438,-0.04583333333333339,-0.015103639297514904
239,delta,gamma,0.016749191499377036,0.07916666666666661,0.044180793818693886
240,delta,quiescent_stellate,-0.05207833951302787,0.03749999999999987,-0.011635097048743437
241,delta,quiescent_stellate,-0.020380554015850372,0.09999999999999987,0.03546202720519043
242,delta,quiescent_stellate,-0.03771703943744209,-0.025000000000000133,-0.03306222460079511
243,delta,quiescent_stellate,0.014499111139364196,-0.06666666666666676,-0.01939070094546147
244,delta,quiescent_stellate,-0.006067207787610496,-0.004166666666666763,-0.006030052508657402
250,ductal,acinar,0.07488245904865076,0.07928361400695005,0.07670221327238658
251,ductal,acinar,0.13715352131971303,0.07928361400695005,0.10834063135148275
252,ductal,acinar,0.07359545776164944,0.17230686982090349,0.12670221327238662
253,ductal,acinar,0.03107293523912691,0.12579524191392677,0.08167115737176556
254,ductal,acinar,0.006027890194081897,0.1228548516439455,0.06924879712331833
255,ductal,activated_stellate,-0.06797468380849203,-0.060251269713980204,-0.06447425731584855
256,ductal,activated_stellate,0.021906268572460252,0.06765570703020585,0.04537691206756733
257,ductal,activated_stellate,0.00786305869591708,0.044399893076717434,0.02640281207478179
258,ductal,activated_stellate,-0.033240790251069074,-0.03699545576049179,-0.03557848848199929
259,ductal,activated_stellate,-0.05461812167144209,-0.015076182838813179,-0.03454039027790934
260,ductal,alpha,0.025710616398547215,-0.048623362737236,-0.010938236165815685
261,ductal,alpha,-0.014327908642729592,0.044399893076717434,0.016096152666326025
262,ductal,alpha,-0.025850141683949945,0.044399893076717434,0.010848554735801264
263,ductal,alpha,0.02076990493609665,-0.013739641807003489,0.00313899488158198
264,ductal,alpha,0.014841051181155973,-0.04955894145950279,-0.01715253533096528
