,Dataset,Metric,Value,Method,Algorithm,Repetition
0,Petralia(raw),F1 Macro,0.7250000000000001,"ACF, correlation-only",ACF+SVC,0.0
1,Petralia(raw),F1 Macro,0.8083333333333333,"ACF, correlation-only",ACF+RF,0.0
2,Petralia(raw),F1 Macro,0.6863095238095238,"ACF, correlation-only",ACF+Ridge,0.0
3,Petralia(raw),F1 Macro,0.6544871794871796,KNN,KNN,0.0
4,Petralia(raw),F1 Macro,0.6696428571428572,DBC,DBC,0.0
5,Petralia(raw),F1 Macro,0.725,Listwise Deletion,SVC,0.0
6,Petralia(raw),F1 Macro,0.6458333333333333,Listwise Deletion,RF,0.0
7,Petralia(raw),F1 Macro,0.7321428571428572,Listwise Deletion,Ridge,0.0
8,Petralia(raw),F1 Macro,0.81875,"ACF, correlation-only",ACF+SVC,0.0
9,Petralia(raw),F1 Macro,0.8291666666666666,"ACF, correlation-only",ACF+RF,0.0
10,Petralia(raw),F1 Macro,0.9057539682539683,"ACF, correlation-only",ACF+Ridge,0.0
11,Petralia(raw),F1 Macro,0.6515151515151515,KNN,KNN,0.0
12,Petralia(raw),F1 Macro,0.6708333333333334,DBC,DBC,0.0
13,Petralia(raw),F1 Macro,0.6979166666666666,Listwise Deletion,SVC,0.0
14,Petralia(raw),F1 Macro,0.7279761904761904,Listwise Deletion,RF,0.0
15,Petralia(raw),F1 Macro,0.9444444444444444,Listwise Deletion,Ridge,0.0
16,Petralia(raw),F1 Macro,0.8006944444444444,"ACF, correlation-only",ACF+SVC,0.0
17,Petralia(raw),F1 Macro,0.7548611111111112,"ACF, correlation-only",ACF+RF,0.0
18,Petralia(raw),F1 Macro,0.7821428571428573,"ACF, correlation-only",ACF+Ridge,0.0
19,Petralia(raw),F1 Macro,0.7208333333333333,KNN,KNN,0.0
20,Petralia(raw),F1 Macro,0.8813852813852814,DBC,DBC,0.0
21,Petralia(raw),F1 Macro,0.8738095238095238,Listwise Deletion,SVC,0.0
22,Petralia(raw),F1 Macro,0.6613095238095238,Listwise Deletion,RF,0.0
23,Petralia(raw),F1 Macro,0.8208333333333333,Listwise Deletion,Ridge,0.0
24,Petralia(raw),F1 Macro,0.7557539682539682,"ACF, correlation-only",ACF+SVC,0.0
25,Petralia(raw),F1 Macro,0.8875,"ACF, correlation-only",ACF+RF,0.0
26,Petralia(raw),F1 Macro,0.8777777777777778,"ACF, correlation-only",ACF+Ridge,0.0
27,Petralia(raw),F1 Macro,0.7041666666666666,KNN,KNN,0.0
28,Petralia(raw),F1 Macro,0.7791666666666666,DBC,DBC,0.0
29,Petralia(raw),F1 Macro,0.6992063492063493,Listwise Deletion,SVC,0.0
30,Petralia(raw),F1 Macro,0.642361111111111,Listwise Deletion,RF,0.0
31,Petralia(raw),F1 Macro,0.7375,Listwise Deletion,Ridge,0.0
32,Petralia(raw),F1 Macro,0.9154761904761906,"ACF, correlation-only",ACF+SVC,0.0
33,Petralia(raw),F1 Macro,0.9444444444444444,"ACF, correlation-only",ACF+RF,0.0
34,Petralia(raw),F1 Macro,0.9707792207792207,"ACF, correlation-only",ACF+Ridge,0.0
35,Petralia(raw),F1 Macro,0.7899038461538461,KNN,KNN,0.0
36,Petralia(raw),F1 Macro,0.9722222222222222,DBC,DBC,0.0
37,Petralia(raw),F1 Macro,0.9154761904761906,Listwise Deletion,SVC,0.0
38,Petralia(raw),F1 Macro,0.8601190476190477,Listwise Deletion,RF,0.0
39,Petralia(raw),F1 Macro,0.8601190476190477,Listwise Deletion,Ridge,0.0
40,Petralia(raw),F1 Macro,0.8154761904761905,"ACF, correlation-only",ACF+SVC,0.0
41,Petralia(raw),F1 Macro,0.7202380952380952,"ACF, correlation-only",ACF+RF,0.0
42,Petralia(raw),F1 Macro,0.8392857142857142,"ACF, correlation-only",ACF+Ridge,0.0
43,Petralia(raw),F1 Macro,0.618452380952381,KNN,KNN,0.0
44,Petralia(raw),F1 Macro,0.7541666666666667,DBC,DBC,0.0
45,Petralia(raw),F1 Macro,0.8113095238095238,Listwise Deletion,SVC,0.0
46,Petralia(raw),F1 Macro,0.8125,Listwise Deletion,RF,0.0
47,Petralia(raw),F1 Macro,0.9707792207792207,Listwise Deletion,Ridge,0.0
48,Petralia(raw),F1 Macro,0.8058982683982685,"ACF, correlation-only",ACF+SVC,0.0
49,Petralia(raw),F1 Macro,0.8458333333333334,"ACF, correlation-only",ACF+RF,0.0
50,Petralia(raw),F1 Macro,0.7708333333333333,"ACF, correlation-only",ACF+Ridge,0.0
51,Petralia(raw),F1 Macro,0.6782967032967033,KNN,KNN,0.0
52,Petralia(raw),F1 Macro,0.7050824175824175,DBC,DBC,0.0
53,Petralia(raw),F1 Macro,0.8683982683982684,Listwise Deletion,SVC,0.0
54,Petralia(raw),F1 Macro,0.69375,Listwise Deletion,RF,0.0
55,Petralia(raw),F1 Macro,0.8725649350649352,Listwise Deletion,Ridge,0.0
56,Petralia(raw),F1 Macro,0.9041125541125541,"ACF, correlation-only",ACF+SVC,0.0
57,Petralia(raw),F1 Macro,0.7750000000000001,"ACF, correlation-only",ACF+RF,0.0
58,Petralia(raw),F1 Macro,0.8414141414141414,"ACF, correlation-only",ACF+Ridge,0.0
59,Petralia(raw),F1 Macro,0.7291666666666666,KNN,KNN,0.0
60,Petralia(raw),F1 Macro,0.7332792207792207,DBC,DBC,0.0
61,Petralia(raw),F1 Macro,0.6361111111111111,Listwise Deletion,SVC,0.0
62,Petralia(raw),F1 Macro,0.8073863636363636,Listwise Deletion,RF,0.0
63,Petralia(raw),F1 Macro,0.6121482683982684,Listwise Deletion,Ridge,0.0
64,Petralia(raw),F1 Macro,0.7,"ACF, correlation-only",ACF+SVC,0.0
65,Petralia(raw),F1 Macro,0.771969696969697,"ACF, correlation-only",ACF+RF,0.0
66,Petralia(raw),F1 Macro,0.7303030303030302,"ACF, correlation-only",ACF+Ridge,0.0
67,Petralia(raw),F1 Macro,0.6833333333333333,KNN,KNN,0.0
68,Petralia(raw),F1 Macro,0.6188852813852814,DBC,DBC,0.0
69,Petralia(raw),F1 Macro,0.7333333333333333,Listwise Deletion,SVC,0.0
70,Petralia(raw),F1 Macro,0.5166666666666666,Listwise Deletion,RF,0.0
71,Petralia(raw),F1 Macro,0.6833333333333333,Listwise Deletion,Ridge,0.0
72,Petralia(raw),F1 Macro,0.5458333333333334,"ACF, correlation-only",ACF+SVC,0.0
73,Petralia(raw),F1 Macro,0.5125,"ACF, correlation-only",ACF+RF,0.0
74,Petralia(raw),F1 Macro,0.8041666666666667,"ACF, correlation-only",ACF+Ridge,0.0
75,Petralia(raw),F1 Macro,0.75,KNN,KNN,0.0
76,Petralia(raw),F1 Macro,0.5672619047619047,DBC,DBC,0.0
77,Petralia(raw),F1 Macro,0.8117424242424243,Listwise Deletion,SVC,0.0
78,Petralia(raw),F1 Macro,0.6391233766233766,Listwise Deletion,RF,0.0
79,Petralia(raw),F1 Macro,0.8,Listwise Deletion,Ridge,0.0
80,Petralia(IRS),F1 Macro,0.8166666666666667,"ACF, correlation-only",ACF+SVC,0.0
81,Petralia(IRS),F1 Macro,0.8708333333333333,"ACF, correlation-only",ACF+RF,0.0
82,Petralia(IRS),F1 Macro,0.6863095238095238,"ACF, correlation-only",ACF+Ridge,0.0
83,Petralia(IRS),F1 Macro,0.8708333333333333,KNN,KNN,0.0
84,Petralia(IRS),F1 Macro,0.5564935064935065,DBC,DBC,0.0
85,Petralia(IRS),F1 Macro,0.9333333333333333,Listwise Deletion,SVC,0.0
86,Petralia(IRS),F1 Macro,0.8738095238095238,Listwise Deletion,RF,0.0
87,Petralia(IRS),F1 Macro,0.9333333333333333,Listwise Deletion,Ridge,0.0
88,Petralia(IRS),F1 Macro,0.8666666666666667,"ACF, correlation-only",ACF+SVC,0.0
89,Petralia(IRS),F1 Macro,0.7860119047619047,"ACF, correlation-only",ACF+RF,0.0
