,Dataset,Metric,Value,Method,Algorithm,Repetition
0,Baron,F1 Macro,0.849682931861192,"ACF, correlation-only",ACF+SVC,0.0
1,Baron,F1 Macro,0.8077333518364953,"ACF, correlation-only",ACF+RF,0.0
2,Baron,F1 Macro,0.8151279529137343,"ACF, correlation-only",ACF+Ridge,0.0
3,Baron,F1 Macro,0.3173737760083142,KNN,KNN,0.0
4,Baron,F1 Macro,0.40854945044932944,DBC,DBC,0.0
5,Baron,F1 Macro,0.08503944935054807,Listwise Deletion,SVC,0.0
6,Baron,F1 Macro,0.07054980241254752,Listwise Deletion,RF,0.0
7,Baron,F1 Macro,0.08055486098482552,Listwise Deletion,Ridge,0.0
8,Baron,F1 Macro,0.8131570015556944,"ACF, correlation-only",ACF+SVC,0.0
9,Baron,F1 Macro,0.8234503383817023,"ACF, correlation-only",ACF+RF,0.0
10,Baron,F1 Macro,0.7561839031189935,"ACF, correlation-only",ACF+Ridge,0.0
11,Baron,F1 Macro,0.3087127409995426,KNN,KNN,0.0
12,Baron,F1 Macro,0.4160779357669874,DBC,DBC,0.0
13,Baron,F1 Macro,0.09597617750490296,Listwise Deletion,SVC,0.0
14,Baron,F1 Macro,0.10328249669995958,Listwise Deletion,RF,0.0
15,Baron,F1 Macro,0.07441893583383279,Listwise Deletion,Ridge,0.0
16,Baron,F1 Macro,0.8226892330449451,"ACF, correlation-only",ACF+SVC,0.0
17,Baron,F1 Macro,0.782940999740974,"ACF, correlation-only",ACF+RF,0.0
18,Baron,F1 Macro,0.8127521279997981,"ACF, correlation-only",ACF+Ridge,0.0
19,Baron,F1 Macro,0.3314026313247042,KNN,KNN,0.0
20,Baron,F1 Macro,0.4511896695150641,DBC,DBC,0.0
21,Baron,F1 Macro,0.0883522888356281,Listwise Deletion,SVC,0.0
22,Baron,F1 Macro,0.08779495417445929,Listwise Deletion,RF,0.0
23,Baron,F1 Macro,0.07052421386402571,Listwise Deletion,Ridge,0.0
24,Baron,F1 Macro,0.805627735063744,"ACF, correlation-only",ACF+SVC,0.0
25,Baron,F1 Macro,0.8313278559664107,"ACF, correlation-only",ACF+RF,0.0
26,Baron,F1 Macro,0.7726994480917968,"ACF, correlation-only",ACF+Ridge,0.0
27,Baron,F1 Macro,0.27126801063479256,KNN,KNN,0.0
28,Baron,F1 Macro,0.37870054040398227,DBC,DBC,0.0
29,Baron,F1 Macro,0.08808907526309381,Listwise Deletion,SVC,0.0
30,Baron,F1 Macro,0.10245378445363514,Listwise Deletion,RF,0.0
31,Baron,F1 Macro,0.08885494602082376,Listwise Deletion,Ridge,0.0
32,Baron,F1 Macro,0.8626954564542824,"ACF, correlation-only",ACF+SVC,0.0
33,Baron,F1 Macro,0.8062870080806549,"ACF, correlation-only",ACF+RF,0.0
34,Baron,F1 Macro,0.8350087101408161,"ACF, correlation-only",ACF+Ridge,0.0
35,Baron,F1 Macro,0.3035203291496198,KNN,KNN,0.0
36,Baron,F1 Macro,0.38872068773785595,DBC,DBC,0.0
37,Baron,F1 Macro,0.07449314511943052,Listwise Deletion,SVC,0.0
38,Baron,F1 Macro,0.10920217426582003,Listwise Deletion,RF,0.0
39,Baron,F1 Macro,0.09717662512538795,Listwise Deletion,Ridge,0.0
40,Baron,F1 Macro,0.7780634988056849,"ACF, correlation-only",ACF+SVC,0.0
41,Baron,F1 Macro,0.7451925976166565,"ACF, correlation-only",ACF+RF,0.0
42,Baron,F1 Macro,0.7729294298936308,"ACF, correlation-only",ACF+Ridge,0.0
43,Baron,F1 Macro,0.3120621948654969,KNN,KNN,0.0
44,Baron,F1 Macro,0.36943272772733987,DBC,DBC,0.0
45,Baron,F1 Macro,0.08362313651980482,Listwise Deletion,SVC,0.0
46,Baron,F1 Macro,0.08517539712818945,Listwise Deletion,RF,0.0
47,Baron,F1 Macro,0.06715513370594633,Listwise Deletion,Ridge,0.0
48,Baron,F1 Macro,0.837593415078496,"ACF, correlation-only",ACF+SVC,0.0
