,Dataset,Value,Method,Algorithm,Repetition
0,Petralia IRS with Covariable,0.7440476190476191,"ACF, with covariable",ACF+SVC,0
1,Petralia IRS with Covariable,0.7849206349206349,"ACF, with covariable",ACF+RF,0
2,Petralia IRS with Covariable,0.6892857142857143,"ACF, with covariable",ACF+Ridge,0
3,Petralia IRS with Covariable,0.9015873015873015,"ACF, with covariable",ACF+SVC,0
4,Petralia IRS with Covariable,0.8631944444444444,"ACF, with covariable",ACF+RF,0
5,Petralia IRS with Covariable,0.9131944444444444,"ACF, with covariable",ACF+Ridge,0
6,Petralia IRS with Covariable,0.9154761904761904,"ACF, with covariable",ACF+SVC,0
7,Petralia IRS with Covariable,0.8833333333333333,"ACF, with covariable",ACF+RF,0
8,Petralia IRS with Covariable,0.7821428571428571,"ACF, with covariable",ACF+Ridge,0
9,Petralia IRS with Covariable,0.6958333333333333,"ACF, with covariable",ACF+SVC,0
10,Petralia IRS with Covariable,0.6884157509157509,"ACF, with covariable",ACF+RF,0
11,Petralia IRS with Covariable,0.7979166666666666,"ACF, with covariable",ACF+Ridge,0
12,Petralia IRS with Covariable,0.8139880952380953,"ACF, with covariable",ACF+SVC,0
13,Petralia IRS with Covariable,1.0,"ACF, with covariable",ACF+RF,0
14,Petralia IRS with Covariable,0.8944444444444445,"ACF, with covariable",ACF+Ridge,0
15,Petralia IRS with Covariable,0.8803030303030304,"ACF, with covariable",ACF+SVC,0
16,Petralia IRS with Covariable,0.7404761904761905,"ACF, with covariable",ACF+RF,0
17,Petralia IRS with Covariable,0.9571428571428571,"ACF, with covariable",ACF+Ridge,0
18,Petralia IRS with Covariable,0.8553030303030302,"ACF, with covariable",ACF+SVC,0
19,Petralia IRS with Covariable,0.8277777777777778,"ACF, with covariable",ACF+RF,0
20,Petralia IRS with Covariable,0.8708333333333333,"ACF, with covariable",ACF+Ridge,0
21,Petralia IRS with Covariable,0.8541666666666666,"ACF, with covariable",ACF+SVC,0
22,Petralia IRS with Covariable,0.8321428571428571,"ACF, with covariable",ACF+RF,0
23,Petralia IRS with Covariable,0.7515151515151515,"ACF, with covariable",ACF+Ridge,0
24,Petralia IRS with Covariable,0.8083333333333333,"ACF, with covariable",ACF+SVC,0
25,Petralia IRS with Covariable,0.7761363636363636,"ACF, with covariable",ACF+RF,0
26,Petralia IRS with Covariable,0.7261363636363636,"ACF, with covariable",ACF+Ridge,0
27,Petralia IRS with Covariable,0.6583333333333333,"ACF, with covariable",ACF+SVC,0
28,Petralia IRS with Covariable,0.7348484848484849,"ACF, with covariable",ACF+RF,0
29,Petralia IRS with Covariable,0.7791666666666666,"ACF, with covariable",ACF+Ridge,0
30,Petralia IRS,0.8166666666666667,"ACF, correlation only",ACF+SVC,0
31,Petralia IRS,0.7849206349206349,"ACF, correlation only",ACF+RF,0
32,Petralia IRS,0.8154761904761905,"ACF, correlation only",ACF+Ridge,0
33,Petralia IRS,0.8666666666666667,"ACF, correlation only",ACF+SVC,0
34,Petralia IRS,0.7860119047619047,"ACF, correlation only",ACF+RF,0
35,Petralia IRS,0.8611111111111112,"ACF, correlation only",ACF+Ridge,0
36,Petralia IRS,0.8488095238095238,"ACF, correlation only",ACF+SVC,0
37,Petralia IRS,0.8515873015873017,"ACF, correlation only",ACF+RF,0
38,Petralia IRS,0.9154761904761904,"ACF, correlation only",ACF+Ridge,0
39,Petralia IRS,0.9404761904761905,"ACF, correlation only",ACF+SVC,0
40,Petralia IRS,0.8849206349206349,"ACF, correlation only",ACF+RF,0
41,Petralia IRS,0.7166666666666667,"ACF, correlation only",ACF+Ridge,0
42,Petralia IRS,0.9112554112554112,"ACF, correlation only",ACF+SVC,0
43,Petralia IRS,0.9707792207792207,"ACF, correlation only",ACF+RF,0
44,Petralia IRS,0.8101190476190476,"ACF, correlation only",ACF+Ridge,0
45,Petralia IRS,0.7594696969696969,"ACF, correlation only",ACF+SVC,0
46,Petralia IRS,0.5683982683982685,"ACF, correlation only",ACF+RF,0
47,Petralia IRS,0.8988095238095237,"ACF, correlation only",ACF+Ridge,0
48,Petralia IRS,0.8624458874458875,"ACF, correlation only",ACF+SVC,0
49,Petralia IRS,0.7401785714285714,"ACF, correlation only",ACF+RF,0
50,Petralia IRS,0.8130411255411256,"ACF, correlation only",ACF+Ridge,0
51,Petralia IRS,0.8520833333333333,"ACF, correlation only",ACF+SVC,0
52,Petralia IRS,0.8604166666666666,"ACF, correlation only",ACF+RF,0
53,Petralia IRS,0.946969696969697,"ACF, correlation only",ACF+Ridge,0
54,Petralia IRS,0.834469696969697,"ACF, correlation only",ACF+SVC,0
55,Petralia IRS,0.7416666666666667,"ACF, correlation only",ACF+RF,0
56,Petralia IRS,0.7261363636363636,"ACF, correlation only",ACF+Ridge,0
57,Petralia IRS,0.6583333333333333,"ACF, correlation only",ACF+SVC,0
58,Petralia IRS,0.7348484848484849,"ACF, correlation only",ACF+RF,0
59,Petralia IRS,0.7041666666666666,"ACF, correlation only",ACF+Ridge,0
60,Petralia IRS with Covariable,0.7440476190476191,"ACF, with covariable",ACF+SVC,1
61,Petralia IRS with Covariable,0.694047619047619,"ACF, with covariable",ACF+RF,1
62,Petralia IRS with Covariable,0.6892857142857143,"ACF, with covariable",ACF+Ridge,1
63,Petralia IRS with Covariable,0.8276785714285715,"ACF, with covariable",ACF+SVC,1
64,Petralia IRS with Covariable,0.79375,"ACF, with covariable",ACF+RF,1
65,Petralia IRS with Covariable,0.9131944444444444,"ACF, with covariable",ACF+Ridge,1
66,Petralia IRS with Covariable,0.8130952380952381,"ACF, with covariable",ACF+SVC,1
67,Petralia IRS with Covariable,0.8488095238095238,"ACF, with covariable",ACF+RF,1
68,Petralia IRS with Covariable,0.7821428571428571,"ACF, with covariable",ACF+Ridge,1
69,Petralia IRS with Covariable,0.7219696969696969,"ACF, with covariable",ACF+SVC,1
70,Petralia IRS with Covariable,0.675915750915751,"ACF, with covariable",ACF+RF,1
71,Petralia IRS with Covariable,0.8850649350649351,"ACF, with covariable",ACF+Ridge,1
72,Petralia IRS with Covariable,0.8798611111111111,"ACF, with covariable",ACF+SVC,1
73,Petralia IRS with Covariable,0.9444444444444444,"ACF, with covariable",ACF+RF,1
74,Petralia IRS with Covariable,0.8944444444444445,"ACF, with covariable",ACF+Ridge,1
75,Petralia IRS with Covariable,0.8738095238095238,"ACF, with covariable",ACF+SVC,1
76,Petralia IRS with Covariable,0.7820887445887446,"ACF, with covariable",ACF+RF,1
77,Petralia IRS with Covariable,0.9571428571428571,"ACF, with covariable",ACF+Ridge,1
78,Petralia IRS with Covariable,0.8553030303030302,"ACF, with covariable",ACF+SVC,1
79,Petralia IRS with Covariable,0.7958333333333334,"ACF, with covariable",ACF+RF,1
80,Petralia IRS with Covariable,0.8708333333333333,"ACF, with covariable",ACF+Ridge,1
81,Petralia IRS with Covariable,0.8541666666666666,"ACF, with covariable",ACF+SVC,1
82,Petralia IRS with Covariable,0.8354166666666667,"ACF, with covariable",ACF+RF,1
83,Petralia IRS with Covariable,0.6907196969696969,"ACF, with covariable",ACF+Ridge,1
84,Petralia IRS with Covariable,0.6964285714285714,"ACF, with covariable",ACF+SVC,1
85,Petralia IRS with Covariable,0.7749999999999999,"ACF, with covariable",ACF+RF,1
86,Petralia IRS with Covariable,0.7303030303030302,"ACF, with covariable",ACF+Ridge,1
87,Petralia IRS with Covariable,0.7592261904761904,"ACF, with covariable",ACF+SVC,1
88,Petralia IRS with Covariable,0.5931818181818183,"ACF, with covariable",ACF+RF,1
89,Petralia IRS with Covariable,0.7791666666666666,"ACF, with covariable",ACF+Ridge,1
90,Petralia IRS,0.8166666666666667,"ACF, correlation only",ACF+SVC,1
91,Petralia IRS,0.8708333333333333,"ACF, correlation only",ACF+RF,1
92,Petralia IRS,0.7791125541125541,"ACF, correlation only",ACF+Ridge,1
93,Petralia IRS,0.8297619047619047,"ACF, correlation only",ACF+SVC,1
94,Petralia IRS,0.8529761904761906,"ACF, correlation only",ACF+RF,1
95,Petralia IRS,0.9258928571428571,"ACF, correlation only",ACF+Ridge,1
96,Petralia IRS,0.8175595238095238,"ACF, correlation only",ACF+SVC,1
97,Petralia IRS,0.7890873015873017,"ACF, correlation only",ACF+RF,1
98,Petralia IRS,0.7821428571428571,"ACF, correlation only",ACF+Ridge,1
99,Petralia IRS,0.7210317460317461,"ACF, correlation only",ACF+SVC,1
100,Petralia IRS,0.8113095238095238,"ACF, correlation only",ACF+RF,1
101,Petralia IRS,0.8425595238095238,"ACF, correlation only",ACF+Ridge,1
102,Petralia IRS,0.8207792207792208,"ACF, correlation only",ACF+SVC,1
103,Petralia IRS,0.9112554112554112,"ACF, correlation only",ACF+RF,1
104,Petralia IRS,0.802922077922078,"ACF, correlation only",ACF+Ridge,1
105,Petralia IRS,0.8738095238095238,"ACF, correlation only",ACF+SVC,1
106,Petralia IRS,0.7738095238095238,"ACF, correlation only",ACF+RF,1
107,Petralia IRS,0.8988095238095237,"ACF, correlation only",ACF+Ridge,1
108,Petralia IRS,0.8740530303030303,"ACF, correlation only",ACF+SVC,1
109,Petralia IRS,0.8058982683982684,"ACF, correlation only",ACF+RF,1
110,Petralia IRS,0.7672619047619047,"ACF, correlation only",ACF+Ridge,1
111,Petralia IRS,0.8604166666666666,"ACF, correlation only",ACF+SVC,1
112,Petralia IRS,0.8604166666666666,"ACF, correlation only",ACF+RF,1
113,Petralia IRS,0.8803030303030304,"ACF, correlation only",ACF+Ridge,1
114,Petralia IRS,0.834469696969697,"ACF, correlation only",ACF+SVC,1
115,Petralia IRS,0.6922619047619047,"ACF, correlation only",ACF+RF,1
116,Petralia IRS,0.7303030303030302,"ACF, correlation only",ACF+Ridge,1
117,Petralia IRS,0.5431818181818182,"ACF, correlation only",ACF+SVC,1
118,Petralia IRS,0.6208333333333333,"ACF, correlation only",ACF+RF,1
119,Petralia IRS,0.7041666666666666,"ACF, correlation only",ACF+Ridge,1
120,Petralia IRS with Covariable,0.7440476190476191,"ACF, with covariable",ACF+SVC,2
121,Petralia IRS with Covariable,0.8432539682539683,"ACF, with covariable",ACF+RF,2
122,Petralia IRS with Covariable,0.8154761904761905,"ACF, with covariable",ACF+Ridge,2
123,Petralia IRS with Covariable,0.9333333333333333,"ACF, with covariable",ACF+SVC,2
124,Petralia IRS with Covariable,0.7529761904761905,"ACF, with covariable",ACF+RF,2
125,Petralia IRS with Covariable,0.9131944444444444,"ACF, with covariable",ACF+Ridge,2
126,Petralia IRS with Covariable,0.9154761904761904,"ACF, with covariable",ACF+SVC,2
127,Petralia IRS with Covariable,0.8833333333333333,"ACF, with covariable",ACF+RF,2
128,Petralia IRS with Covariable,0.7821428571428571,"ACF, with covariable",ACF+Ridge,2
129,Petralia IRS with Covariable,0.8361111111111111,"ACF, with covariable",ACF+SVC,2
130,Petralia IRS with Covariable,0.613415750915751,"ACF, with covariable",ACF+RF,2
131,Petralia IRS with Covariable,0.7979166666666666,"ACF, with covariable",ACF+Ridge,2
132,Petralia IRS with Covariable,0.8798611111111111,"ACF, with covariable",ACF+SVC,2
133,Petralia IRS with Covariable,1.0,"ACF, with covariable",ACF+RF,2
134,Petralia IRS with Covariable,0.8777777777777778,"ACF, with covariable",ACF+Ridge,2
135,Petralia IRS with Covariable,0.884469696969697,"ACF, with covariable",ACF+SVC,2
136,Petralia IRS with Covariable,0.7820887445887446,"ACF, with covariable",ACF+RF,2
137,Petralia IRS with Covariable,0.9571428571428571,"ACF, with covariable",ACF+Ridge,2
138,Petralia IRS with Covariable,0.7517857142857143,"ACF, with covariable",ACF+SVC,2
139,Petralia IRS with Covariable,0.8277777777777778,"ACF, with covariable",ACF+RF,2
140,Petralia IRS with Covariable,0.8708333333333333,"ACF, with covariable",ACF+Ridge,2
141,Petralia IRS with Covariable,0.8541666666666666,"ACF, with covariable",ACF+SVC,2
142,Petralia IRS with Covariable,0.9020833333333333,"ACF, with covariable",ACF+RF,2
143,Petralia IRS with Covariable,0.8457792207792207,"ACF, with covariable",ACF+Ridge,2
144,Petralia IRS with Covariable,0.8803030303030304,"ACF, with covariable",ACF+SVC,2
145,Petralia IRS with Covariable,0.85,"ACF, with covariable",ACF+RF,2
146,Petralia IRS with Covariable,0.7303030303030302,"ACF, with covariable",ACF+Ridge,2
147,Petralia IRS with Covariable,0.6833333333333333,"ACF, with covariable",ACF+SVC,2
148,Petralia IRS with Covariable,0.7348484848484849,"ACF, with covariable",ACF+RF,2
149,Petralia IRS with Covariable,0.7791666666666666,"ACF, with covariable",ACF+Ridge,2
150,Petralia IRS,0.8166666666666667,"ACF, correlation only",ACF+SVC,2
151,Petralia IRS,0.7515873015873016,"ACF, correlation only",ACF+RF,2
152,Petralia IRS,0.7791125541125541,"ACF, correlation only",ACF+Ridge,2
153,Petralia IRS,0.8569444444444444,"ACF, correlation only",ACF+SVC,2
154,Petralia IRS,0.7901785714285714,"ACF, correlation only",ACF+RF,2
155,Petralia IRS,0.9154761904761904,"ACF, correlation only",ACF+Ridge,2
156,Petralia IRS,0.8175595238095238,"ACF, correlation only",ACF+SVC,2
157,Petralia IRS,0.7890873015873017,"ACF, correlation only",ACF+RF,2
158,Petralia IRS,0.7821428571428571,"ACF, correlation only",ACF+Ridge,2
159,Petralia IRS,0.7210317460317461,"ACF, correlation only",ACF+SVC,2
160,Petralia IRS,0.8849206349206349,"ACF, correlation only",ACF+RF,2
161,Petralia IRS,0.9015873015873016,"ACF, correlation only",ACF+Ridge,2
162,Petralia IRS,0.9707792207792207,"ACF, correlation only",ACF+SVC,2
163,Petralia IRS,0.9707792207792207,"ACF, correlation only",ACF+RF,2
164,Petralia IRS,0.7612554112554113,"ACF, correlation only",ACF+Ridge,2
165,Petralia IRS,0.7594696969696969,"ACF, correlation only",ACF+SVC,2
166,Petralia IRS,0.7583333333333333,"ACF, correlation only",ACF+RF,2
167,Petralia IRS,0.8976190476190475,"ACF, correlation only",ACF+Ridge,2
168,Petralia IRS,0.7957792207792207,"ACF, correlation only",ACF+SVC,2
169,Petralia IRS,0.6839285714285714,"ACF, correlation only",ACF+RF,2
170,Petralia IRS,0.7672619047619047,"ACF, correlation only",ACF+Ridge,2
171,Petralia IRS,0.8944444444444444,"ACF, correlation only",ACF+SVC,2
172,Petralia IRS,0.8604166666666666,"ACF, correlation only",ACF+RF,2
173,Petralia IRS,0.9112554112554112,"ACF, correlation only",ACF+Ridge,2
174,Petralia IRS,0.8486111111111111,"ACF, correlation only",ACF+SVC,2
175,Petralia IRS,0.7416666666666667,"ACF, correlation only",ACF+RF,2
176,Petralia IRS,0.7303030303030302,"ACF, correlation only",ACF+Ridge,2
177,Petralia IRS,0.7,"ACF, correlation only",ACF+SVC,2
178,Petralia IRS,0.5931818181818183,"ACF, correlation only",ACF+RF,2
179,Petralia IRS,0.7041666666666666,"ACF, correlation only",ACF+Ridge,2
180,Petralia IRS with Covariable,0.7440476190476191,"ACF, with covariable",ACF+SVC,3
181,Petralia IRS with Covariable,0.725,"ACF, with covariable",ACF+RF,3
182,Petralia IRS with Covariable,0.6892857142857143,"ACF, with covariable",ACF+Ridge,3
183,Petralia IRS with Covariable,0.9015873015873015,"ACF, with covariable",ACF+SVC,3
184,Petralia IRS with Covariable,0.7783730158730159,"ACF, with covariable",ACF+RF,3
185,Petralia IRS with Covariable,0.9131944444444444,"ACF, with covariable",ACF+Ridge,3
186,Petralia IRS with Covariable,0.9154761904761904,"ACF, with covariable",ACF+SVC,3
187,Petralia IRS with Covariable,0.8833333333333333,"ACF, with covariable",ACF+RF,3
188,Petralia IRS with Covariable,0.8696428571428572,"ACF, with covariable",ACF+Ridge,3
189,Petralia IRS with Covariable,0.6958333333333333,"ACF, with covariable",ACF+SVC,3
190,Petralia IRS with Covariable,0.6259157509157509,"ACF, with covariable",ACF+RF,3
191,Petralia IRS with Covariable,0.7979166666666666,"ACF, with covariable",ACF+Ridge,3
192,Petralia IRS with Covariable,0.8798611111111111,"ACF, with covariable",ACF+SVC,3
193,Petralia IRS with Covariable,0.8777777777777778,"ACF, with covariable",ACF+RF,3
194,Petralia IRS with Covariable,0.8944444444444445,"ACF, with covariable",ACF+Ridge,3
195,Petralia IRS with Covariable,0.8738095238095238,"ACF, with covariable",ACF+SVC,3
196,Petralia IRS with Covariable,0.7113095238095237,"ACF, with covariable",ACF+RF,3
197,Petralia IRS with Covariable,0.9154761904761906,"ACF, with covariable",ACF+Ridge,3
198,Petralia IRS with Covariable,0.7125,"ACF, with covariable",ACF+SVC,3
199,Petralia IRS with Covariable,0.8277777777777778,"ACF, with covariable",ACF+RF,3
200,Petralia IRS with Covariable,0.8708333333333333,"ACF, with covariable",ACF+Ridge,3
201,Petralia IRS with Covariable,0.8458333333333333,"ACF, with covariable",ACF+SVC,3
202,Petralia IRS with Covariable,0.8589285714285715,"ACF, with covariable",ACF+RF,3
203,Petralia IRS with Covariable,0.6907196969696969,"ACF, with covariable",ACF+Ridge,3
204,Petralia IRS with Covariable,0.8083333333333333,"ACF, with covariable",ACF+SVC,3
205,Petralia IRS with Covariable,0.6833333333333333,"ACF, with covariable",ACF+RF,3
206,Petralia IRS with Covariable,0.7303030303030302,"ACF, with covariable",ACF+Ridge,3
207,Petralia IRS with Covariable,0.7592261904761904,"ACF, with covariable",ACF+SVC,3
208,Petralia IRS with Covariable,0.6583333333333333,"ACF, with covariable",ACF+RF,3
209,Petralia IRS with Covariable,0.7791666666666666,"ACF, with covariable",ACF+Ridge,3
210,Petralia IRS,0.7140873015873016,"ACF, correlation only",ACF+SVC,3
211,Petralia IRS,0.8708333333333333,"ACF, correlation only",ACF+RF,3
212,Petralia IRS,0.6863095238095238,"ACF, correlation only",ACF+Ridge,3
213,Petralia IRS,0.8964285714285715,"ACF, correlation only",ACF+SVC,3
214,Petralia IRS,0.8145833333333333,"ACF, correlation only",ACF+RF,3
215,Petralia IRS,0.9258928571428571,"ACF, correlation only",ACF+Ridge,3
216,Petralia IRS,0.8488095238095238,"ACF, correlation only",ACF+SVC,3
217,Petralia IRS,0.8488095238095238,"ACF, correlation only",ACF+RF,3
218,Petralia IRS,0.8258928571428572,"ACF, correlation only",ACF+Ridge,3
219,Petralia IRS,0.7210317460317461,"ACF, correlation only",ACF+SVC,3
220,Petralia IRS,0.7645833333333333,"ACF, correlation only",ACF+RF,3
221,Petralia IRS,0.7166666666666667,"ACF, correlation only",ACF+Ridge,3
222,Petralia IRS,0.802922077922078,"ACF, correlation only",ACF+SVC,3
223,Petralia IRS,0.7541125541125542,"ACF, correlation only",ACF+RF,3
224,Petralia IRS,0.9112554112554112,"ACF, correlation only",ACF+Ridge,3
225,Petralia IRS,0.7594696969696969,"ACF, correlation only",ACF+SVC,3
226,Petralia IRS,0.8178030303030303,"ACF, correlation only",ACF+RF,3
227,Petralia IRS,0.8976190476190475,"ACF, correlation only",ACF+Ridge,3
228,Petralia IRS,0.8624458874458875,"ACF, correlation only",ACF+SVC,3
229,Petralia IRS,0.6839285714285714,"ACF, correlation only",ACF+RF,3
230,Petralia IRS,0.7672619047619047,"ACF, correlation only",ACF+Ridge,3
231,Petralia IRS,0.8604166666666666,"ACF, correlation only",ACF+SVC,3
232,Petralia IRS,0.961111111111111,"ACF, correlation only",ACF+RF,3
233,Petralia IRS,0.6461760461760462,"ACF, correlation only",ACF+Ridge,3
234,Petralia IRS,0.6895833333333334,"ACF, correlation only",ACF+SVC,3
235,Petralia IRS,0.7130952380952381,"ACF, correlation only",ACF+RF,3
236,Petralia IRS,0.7303030303030302,"ACF, correlation only",ACF+Ridge,3
237,Petralia IRS,0.5729437229437229,"ACF, correlation only",ACF+SVC,3
238,Petralia IRS,0.5916666666666666,"ACF, correlation only",ACF+RF,3
239,Petralia IRS,0.7617424242424242,"ACF, correlation only",ACF+Ridge,3
240,Petralia IRS with Covariable,0.7440476190476191,"ACF, with covariable",ACF+SVC,4
241,Petralia IRS with Covariable,0.8166666666666667,"ACF, with covariable",ACF+RF,4
242,Petralia IRS with Covariable,0.7182539682539683,"ACF, with covariable",ACF+Ridge,4
243,Petralia IRS with Covariable,0.9182539682539682,"ACF, with covariable",ACF+SVC,4
244,Petralia IRS with Covariable,0.8238095238095238,"ACF, with covariable",ACF+RF,4
245,Petralia IRS with Covariable,0.9131944444444444,"ACF, with covariable",ACF+Ridge,4
246,Petralia IRS with Covariable,0.9154761904761904,"ACF, with covariable",ACF+SVC,4
247,Petralia IRS with Covariable,0.8833333333333333,"ACF, with covariable",ACF+RF,4
248,Petralia IRS with Covariable,0.7821428571428571,"ACF, with covariable",ACF+Ridge,4
249,Petralia IRS with Covariable,0.7219696969696969,"ACF, with covariable",ACF+SVC,4
250,Petralia IRS with Covariable,0.6259157509157509,"ACF, with covariable",ACF+RF,4
251,Petralia IRS with Covariable,0.8850649350649351,"ACF, with covariable",ACF+Ridge,4
252,Petralia IRS with Covariable,0.9253968253968254,"ACF, with covariable",ACF+SVC,4
253,Petralia IRS with Covariable,1.0,"ACF, with covariable",ACF+RF,4
254,Petralia IRS with Covariable,0.825,"ACF, with covariable",ACF+Ridge,4
255,Petralia IRS with Covariable,0.8738095238095238,"ACF, with covariable",ACF+SVC,4
256,Petralia IRS with Covariable,0.8445887445887446,"ACF, with covariable",ACF+RF,4
257,Petralia IRS with Covariable,0.9571428571428571,"ACF, with covariable",ACF+Ridge,4
258,Petralia IRS with Covariable,0.7245039682539682,"ACF, with covariable",ACF+SVC,4
